"","Var1","Var2","Freq"
"1","Columbus","Blank_QC",0
"2","JLP","Blank_QC",2
"3","JPM","Blank_QC",1
"4","Node.1","Blank_QC",5
"5","Node.2","Blank_QC",0
"6","Node.3","Blank_QC",16
"7","PMM","Blank_QC",3
"8","US.Lab","Blank_QC",1
"9","Columbus","Food",0
"10","JLP","Food",0
"11","JPM","Food",0
"12","Node.1","Food",2
"13","Node.2","Food",0
"14","Node.3","Food",1
"15","PMM","Food",0
"16","US.Lab","Food",0
"17","Columbus","Microbial",0
"18","JLP","Microbial",0
"19","JPM","Microbial",1
"20","Node.1","Microbial",4
"21","Node.2","Microbial",0
"22","Node.3","Microbial",26
"23","PMM","Microbial",10
"24","US.Lab","Microbial",1
"25","Columbus","Multiple",0
"26","JLP","Multiple",0
"27","JPM","Multiple",0
"28","Node.1","Multiple",2
"29","Node.2","Multiple",0
"30","Node.3","Multiple",3
"31","PMM","Multiple",0
"32","US.Lab","Multiple",0
"33","Columbus","PCP",0
"34","JLP","PCP",0
"35","JPM","PCP",0
"36","Node.1","PCP",0
"37","Node.2","PCP",0
"38","Node.3","PCP",1
"39","PMM","PCP",0
"40","US.Lab","PCP",0
"41","Columbus","Unknown",1
"42","JLP","Unknown",0
"43","JPM","Unknown",5
"44","Node.1","Unknown",9
"45","Node.2","Unknown",1
"46","Node.3","Unknown",102
"47","PMM","Unknown",43
"48","US.Lab","Unknown",9
